28	43	3
28	46	28
28	47	8
28	48	4
28	49	14
28	51	1
28	52	1
28	53	2
28	54	1
28	62	1
28	63	14
28	65	5
28	66	17
28	67	6
28	68	15
28	71	6
28	72	3
29	30	3
29	31	6
29	33	8
29	35	8
29	36	3
29	37	19
29	38	4
29	39	104
29	40	7
29	41	75
29	42	5
29	43	4
29	44	1
29	45	2
29	46	27
29	47	36
29	48	3
29	49	42
29	51	13
29	52	6
29	53	1
29	54	8
29	55	3
29	56	5
29	57	9
29	58	8
29	59	5
29	60	4
29	61	2
29	62	5
29	63	36
29	64	6
29	65	11
29	66	16
29	67	5
29	68	1
29	69	6
29	70	1
29	71	12
29	72	5
30	31	8
30	33	1
30	36	3
30	37	2
30	38	2
30	39	42
30	41	29
30	42	2
30	44	1
30	45	2
30	46	19
30	47	13
30	49	9
30	50	1
30	51	1
30	52	3
30	54	2
30	55	1
30	57	8
30	60	1
30	61	4
30	62	2
30	63	15
30	64	1
30	65	5
30	66	8
30	67	1
30	71	1
31	32	2
31	33	1
31	35	1
31	36	2
31	37	7
31	38	12
31	39	50
31	40	1
31	41	61
31	42	13
31	44	10
31	45	5
31	46	39
31	47	33
31	48	3
31	49	31
31	52	1
31	53	1
31	54	6
31	55	2
31	57	2
31	58	4
31	59	4
31	60	2
31	61	5
31	62	3
31	63	42
31	64	5
31	65	6
31	66	29
31	67	4
31	70	2
31	73	9
32	33	2
32	39	24
32	41	64
32	46	23
32	47	4
32	49	46
32	50	18
32	52	2
32	56	6
32	57	1
32	61	3
32	62	6
32	63	7
32	65	9
32	66	6
32	67	1
33	35	2
33	36	2
33	37	19
33	38	4
33	39	62
33	40	12
33	41	49
33	42	2
33	43	2
33	45	4
33	46	29
33	47	29
33	48	3
33	49	53
33	50	2
33	51	3
33	52	10
33	53	2
33	54	9
33	56	13
33	57	7
33	58	7
33	59	6
33	60	2
33	61	3
33	62	14
33	63	41
33	64	1
33	65	51
33	66	38
33	67	11
33	68	4
33	70	23
33	71	23
33	73	6
34	39	76
34	41	29
34	43	2
34	45	2
34	47	8
34	49	34
34	50	12
34	56	24
34	63	1
34	65	11
34	68	24
34	70	19
35	37	26
35	38	9
35	39	71
35	40	4
35	41	35
35	42	1
35	43	4
35	45	1
35	46	27
35	47	31
35	49	12
35	51	2
35	52	4
35	54	19
35	55	6
35	60	5
35	61	12
35	62	1
35	63	6
35	65	4
35	66	3
35	67	1
35	70	1
35	71	22
36	37	2
36	38	1
36	39	45
36	40	3
36	41	21
36	42	1
36	43	8
36	46	13
36	47	13
36	48	2
36	49	15
36	52	6
36	53	2
36	55	1
36	56	5
36	57	8
36	58	1
36	59	4
36	60	2
36	62	2
36	63	21
36	65	6
36	66	17
36	67	1
36	68	1
36	69	6
36	70	1
36	72	1
36	73	1
37	38	22
37	39	139
37	40	9
37	41	114
37	42	2
37	43	4
37	44	2
37	45	1
37	46	74
37	47	81
37	48	3
37	49	45
37	50	1
37	51	9
37	52	15
37	53	4
37	54	20
37	55	7
37	56	4
37	57	18
37	59	6
37	60	14
37	61	21
37	62	12
37	63	40
37	64	6
37	65	45
37	66	34
37	67	9
37	69	2
37	70	2
37	71	33
37	72	1
37	73	10
38	39	86
38	40	3
38	41	65
38	42	4
38	43	4
38	44	3
38	45	1
38	46	27
38	47	36
38	48	4
38	49	39
38	51	5
38	52	11
38	53	1
38	54	5
38	55	3
38	57	10
38	58	6
38	59	12
38	60	2
38	61	15
38	62	14
38	63	17
38	64	4
38	65	15
38	66	17
38	67	5
38	68	2
38	69	3
38	71	16
38	72	2
38	73	3
39	40	67
39	41	952
39	42	90
39	43	98
39	44	27
39	45	27
39	46	421
39	47	424
39	48	38
39	49	446
39	50	30
39	51	62
39	52	135
39	53	28
39	54	53
39	55	44
39	56	83
39	57	114
39	58	7
39	59	41
39	60	70
39	61	141
39	62	109
39	63	330
39	64	48
39	65	175
39	66	251
39	67	75
39	68	102
39	69	31
39	70	83
39	71	86
39	72	22
39	73	25
40	41	46
40	42	2
40	43	16
40	44	2
40	45	3
40	46	25
40	47	28
40	49	32
40	51	5
40	52	9
40	53	1
40	54	3
40	56	37
40	57	12
40	59	7
40	60	5
40	62	6
40	63	36
40	64	4
40	65	17
40	66	22
40	67	5
40	68	1
40	69	6
40	70	5
40	71	7
40	72	3
40	73	1
41	42	175
41	43	9
41	44	57
41	45	92
41	46	666
41	47	355
41	48	28
41	49	723
41	50	72
41	51	35
41	52	105
41	53	8
41	54	29
41	55	54
41	56	63
41	57	24
41	58	3
41	60	42
41	61	182
41	62	208
41	63	439
41	64	37
41	65	231
41	66	124
41	67	60
41	68	59
41	69	31
41	70	72
41	71	98
41	72	44
41	73	21
42	44	6
42	45	1
42	46	37
42	47	30
42	48	4
42	49	48
42	50	5
42	51	4
42	52	3
42	54	1
42	55	3
42	57	3
42	60	2
42	61	8
42	62	5
42	63	48
42	64	15
42	65	16
42	66	6
42	67	8
42	68	9
42	69	2
